"sample_id","dataset","platform","title","group"
"GSM150203","GSE6364","GPL570","ESE_D_489","Disease"
"GSM150204","GSE6364","GPL570","ESE_D_496","Disease"
"GSM150205","GSE6364","GPL570","ESE_D_517","Disease"
"GSM150206","GSE6364","GPL570","ESE_D_575","Disease"
"GSM150207","GSE6364","GPL570","ESE_D_599","Disease"
"GSM150208","GSE6364","GPL570","ESE_N_629","Control"
"GSM150209","GSE6364","GPL570","ESE_N_650","Control"
"GSM150210","GSE6364","GPL570","ESE_N_664","Control"
"GSM150211","GSE6364","GPL570","MSE_D_33A","Disease"
"GSM150212","GSE6364","GPL570","MSE_D_516","Disease"
"GSM150213","GSE6364","GPL570","MSE_D_540","Disease"
"GSM150214","GSE6364","GPL570","MSE_D_543","Disease"
"GSM150215","GSE6364","GPL570","MSE_D_645","Disease"
"GSM150216","GSE6364","GPL570","MSE_D_678","Disease"
"GSM150217","GSE6364","GPL570","MSE_D_97A","Disease"
"GSM150218","GSE6364","GPL570","MSE_D_G72A","Disease"
"GSM150219","GSE6364","GPL570","MSE_D_G73A","Disease"
"GSM150220","GSE6364","GPL570","MSE_N_610","Control"
"GSM150221","GSE6364","GPL570","MSE_N_617","Control"
"GSM150222","GSE6364","GPL570","MSE_N_626","Control"
"GSM150223","GSE6364","GPL570","MSE_N_659","Control"
"GSM150224","GSE6364","GPL570","MSE_N_G98A","Control"
"GSM150225","GSE6364","GPL570","MSE_N_M153","Control"
"GSM150226","GSE6364","GPL570","MSE_N_M158","Control"
"GSM150227","GSE6364","GPL570","MSE_N_M163","Control"
"GSM175766","GSE7305","GPL570","Endometrium/Ovary-Disease 1","Disease"
"GSM175767","GSE7305","GPL570","Endometrium/Ovary-Disease 2","Disease"
"GSM175768","GSE7305","GPL570","Endometrium/Ovary-Disease 3","Disease"
"GSM175769","GSE7305","GPL570","Endometrium/Ovary-Disease 4","Disease"
"GSM175770","GSE7305","GPL570","Endometrium/Ovary-Disease 5","Disease"
"GSM175771","GSE7305","GPL570","Endometrium/Ovary-Disease 6","Disease"
"GSM175772","GSE7305","GPL570","Endometrium/Ovary-Disease 7","Disease"
"GSM175773","GSE7305","GPL570","Endometrium/Ovary-Disease 8","Disease"
"GSM175774","GSE7305","GPL570","Endometrium/Ovary-Disease 9","Disease"
"GSM175775","GSE7305","GPL570","Endometrium/Ovary-Disease 10","Disease"
"GSM175776","GSE7305","GPL570","Endometrium-Normal 1","Control"
"GSM175777","GSE7305","GPL570","Endometrium-Normal 2","Control"
"GSM175778","GSE7305","GPL570","Endometrium-Normal 3","Control"
"GSM175779","GSE7305","GPL570","Endometrium-Normal 4","Control"
"GSM175780","GSE7305","GPL570","Endometrium-Normal 5","Control"
"GSM175781","GSE7305","GPL570","Endometrium-Normal 6","Control"
"GSM175782","GSE7305","GPL570","Endometrium-Normal 7","Control"
"GSM175783","GSE7305","GPL570","Endometrium-Normal 8","Control"
"GSM175784","GSE7305","GPL570","Endometrium-Normal 9","Control"
"GSM175785","GSE7305","GPL570","Endometrium-Normal 10","Control"
"GSM190395","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep1","Disease"
"GSM190396","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep2","Disease"
"GSM190397","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep3","Disease"
"GSM190398","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep4","Disease"
"GSM190399","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep5","Disease"
"GSM190400","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep1","Control"
"GSM190401","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep2","Control"
"GSM190402","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep3","Control"
"GSM190403","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep4","Control"
"GSM190404","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep5","Control"
